API path,Tags,Summary,Reason
/device/add,device,Creating devices,"This API has Property: deviceName, Property: deviceId."
/device/children/list,device,Getting subdevices,"This API has Property: deviceName, Property: deviceId."
/device/consumer,device,Consumer device information message (real-time push device information),"This API has Property: deviceName, Property: deviceId."
/device/detail,device,Get device details,"This API has Property: deviceName, Property: deviceId."
/device/deviceProperty/log/list,device,Get historical data of device properties,This API has Property: deviceId.
/device/getByPkDn,device,Get device details,"This API has Property: deviceName, Property: deviceId."
/device/list,device,List of devices,"This API has Property: deviceName, Property: deviceId."
/device/save,device,Saving device,"This API has Property: deviceName, Property: deviceId."
/device/service/invoke,device,Service invocation,This API has Property: deviceId.
/device/service/property/set,device,Property setting,This API has Property: deviceId.
